dg1 [um],dg_feed [um],L1 [um],L2 [um],Freq [GHz],S11_dB,S21_dB
-12,-78,50,-96,0.98,-0.0801983048634916,-19.1201807799769
-12,-78,50,-96,0.985,-0.0968788140474171,-18.0524998651439
-12,-78,50,-96,0.99,-0.118573246530613,-16.9593022797643
-12,-78,50,-96,0.995,-0.147053574317553,-15.8398960864187
-12,-78,50,-96,1.0,-0.184794802785655,-14.6939420946624
-12,-78,50,-96,1.005,-0.235278601003021,-13.52168320007
-12,-78,50,-96,1.01,-0.303432715888082,-12.3242880671302
-12,-78,50,-96,1.015,-0.396262068098578,-11.1043570392939
-12,-78,50,-96,1.02,-0.523739773812484,-9.86664674362673
-12,-78,50,-96,1.025,-0.700024784455805,-8.61906236852792
-12,-78,50,-96,1.03,-0.945030200918198,-7.37391432180487
-12,-78,50,-96,1.035,-1.28623363660489,-6.14928713851264
-12,-78,50,-96,1.04,-1.76034089582257,-4.9700602849308
-12,-78,50,-96,1.045,-2.41400314677948,-3.86765830625003
-12,-78,50,-96,1.05,-3.3025374541539,-2.87725962373684
-12,-78,50,-96,1.055,-4.48626196455396,-2.03165573003003
-12,-78,50,-96,1.06,-6.02643122169158,-1.35289143438332
-12,-78,50,-96,1.065,-7.98639264280616,-0.845410156774377
-12,-78,50,-96,1.07,-10.4468140658657,-0.494850389031442
-12,-78,50,-96,1.075,-13.5493580684836,-0.273299389193108
-12,-78,50,-96,1.08,-17.6143132024902,-0.147648848104081
-12,-78,50,-96,1.085,-23.5833382181823,-0.0867741252118654
-12,-78,50,-96,1.09,-37.1928218306786,-0.0654579482169717
-12,-78,50,-96,1.095,-31.5189066502139,-0.0653630724629371
-12,-78,50,-96,1.1,-24.9935514276358,-0.074300347972557
-12,-78,50,-96,1.105,-22.2873145393886,-0.084876134077517
-12,-78,50,-96,1.11,-20.9474524525686,-0.0931300830461008
-12,-78,50,-96,1.115,-20.3552478987337,-0.0974044265942118
-12,-78,50,-96,1.12,-20.2693914140681,-0.0974886013148771
-12,-78,50,-96,1.125,-20.5828094296322,-0.0940047475518265
-12,-78,50,-96,1.13,-21.2543343623262,-0.0879810635698731
-12,-78,50,-96,1.135,-22.2876919506682,-0.0805647884564109
-12,-78,50,-96,1.14,-23.7321258502717,-0.0728373442431147
-12,-78,50,-96,1.145,-25.7054170754115,-0.0657041674408888
-12,-78,50,-96,1.15,-28.4680663969041,-0.059839200322397
-12,-78,50,-96,1.155,-32.6901730120487,-0.0556690200884374
-12,-78,50,-96,1.16,-41.0178082789958,-0.0533848559930121
-12,-78,50,-96,1.165,-43.6766122760838,-0.0529729876003693
-12,-78,50,-96,1.17,-34.1041617521168,-0.0542557536064666
-12,-78,50,-96,1.175,-29.7966241370087,-0.0569369332673282
-12,-78,50,-96,1.18,-27.1326598953414,-0.0606467132963774
-12,-78,50,-96,1.185,-25.2901807767958,-0.0649828260147698
-12,-78,50,-96,1.19,-23.9531023534023,-0.0695456884719353
-12,-78,50,-96,1.195,-22.9667531641521,-0.0739664290828663
-12,-78,50,-96,1.2,-22.2443982635466,-0.077927520620989
-12,-78,50,-96,1.205,-21.7331839963142,-0.0811763387494813
-12,-78,50,-96,1.21,-21.3993182417428,-0.0835323530212178
-12,-78,50,-96,1.215,-21.2208257345271,-0.0848888691671362
